goldSQL,prdeictSQL,ind_dev_set,hardness,question,db_id,gold_sql,predicted_sql,Incorrect final column,Missing constraint,Incorrect Constraint,Entity Column,execution
"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT Avg(singer.Age), Min(singer.Age), Max(singer.Age) FROM singer",5,medium,"What is the average, minimum, and maximum age for all French singers?",concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT Avg(singer.Age), Min(singer.Age), Max(singer.Age) FROM singer",False,True,na,na,False
"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT singer.Name, singer.Song_release_year FROM singer ORDER BY singer.Age Asc LIMIT 1",6,medium,Show the name and the release year of the song by the youngest singer.,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT singer.Name, singer.Song_release_year FROM singer ORDER BY singer.Age Asc LIMIT 1",True,False,False,False,False
"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT singer.Name, singer.Song_release_year FROM singer ORDER BY singer.Age Asc LIMIT 1",7,medium,What are the names and release years for all the songs of the youngest singer?,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT singer.Name, singer.Song_release_year FROM singer ORDER BY singer.Age Asc LIMIT 1",True,False,False,False,False
"select max(capacity), average from stadium","SELECT Max(stadium.Capacity), Avg(stadium.Average) FROM stadium",16,medium,What is the maximum capacity and the average of all stadiums ?,concert_singer,"select max(capacity), average from stadium","SELECT Max(stadium.Capacity), Avg(stadium.Average) FROM stadium",True,False,False,False,False
"select avg(capacity) ,  max(capacity) from stadium","SELECT Avg(stadium.Average), Max(stadium.Capacity) FROM stadium",17,medium,What is the average and maximum capacities for all stadiums ?,concert_singer,"select avg(capacity) ,  max(capacity) from stadium","SELECT Avg(stadium.Average), Max(stadium.Capacity) FROM stadium",True,False,False,False,False
"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, Count(*) FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Name",36,medium,What are the names of the singers and number of concerts for each person?,concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, Count(*) FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Name",False,False,False,False,False
"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE <UNK>",39,medium,what is the name and nation of the singer who have a song having 'Hey' in its name?,concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE <UNK>",False,False,False,False,False
"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE <UNK>",40,medium,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE <UNK>",False,False,False,False,False
select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT Count(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID ORDER BY stadium.Capacity Desc LIMIT 1,43,hard,Find the number of concerts happened in the stadium with the highest capacity .,concert_singer,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT Count(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID ORDER BY stadium.Capacity Desc LIMIT 1,False,False,False,False,False
select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT Count(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID ORDER BY stadium.Capacity Desc LIMIT 1,44,hard,What are the number of concerts that occurred in the stadium with the largest capacity ?,concert_singer,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT Count(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID ORDER BY stadium.Capacity Desc LIMIT 1,False,False,False,False,False
