goldSQL,prdeictSQL,ind_dev_set,hardness,question,db_id,gold_sql,predicted_sql,Incorrect final column,Missing constraint,Incorrect Constraint,Entity Column,execution
"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT Avg(singer.Age), Min(singer.Age), Max(singer.Age) FROM singer",5,medium,"What is the average, minimum, and maximum age for all French singers?",concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT Avg(singer.Age), Min(singer.Age), Max(singer.Age) FROM singer",False,True,na,na,False
"select max(capacity), average from stadium","SELECT Max(stadium.Capacity), Avg(stadium.Average) FROM stadium",16,medium,What is the maximum capacity and the average of all stadiums ?,concert_singer,"select max(capacity), average from stadium","SELECT Max(stadium.Capacity), Avg(stadium.Average) FROM stadium",True,False,False,False,False
"select avg(capacity) ,  max(capacity) from stadium","SELECT Avg(stadium.Average), Max(stadium.Capacity) FROM stadium",17,medium,What is the average and maximum capacities for all stadiums ?,concert_singer,"select avg(capacity) ,  max(capacity) from stadium","SELECT Avg(stadium.Average), Max(stadium.Capacity) FROM stadium",True,False,False,False,False
"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Highest Desc LIMIT 1",18,medium,What is the name and capacity for the stadium with highest average attendance?,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Highest Desc LIMIT 1",na,na,na,na,True
"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Highest Desc LIMIT 1",19,medium,What is the name and capacity for the stadium with the highest average attendance?,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Highest Desc LIMIT 1",na,na,na,na,True
"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Stadium_ID, Count(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY concert.Stadium_ID",23,medium,"For each stadium, how many concerts play there?",concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Stadium_ID, Count(*) FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID GROUP BY concert.Stadium_ID",True,False,False,False,False
"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT concert.concert_Name, concert.Theme, Count(*) FROM singer JOIN concert JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer_in_concert.concert_ID",33,medium,Show the name and theme for all concerts and the number of singers in each concert.,concert_singer,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT concert.concert_Name, concert.Theme, Count(*) FROM singer JOIN concert JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer_in_concert.concert_ID",na,na,na,na,True
"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT concert.concert_Name, concert.Theme, Count(*) FROM singer JOIN concert JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer_in_concert.concert_ID",34,medium,"What are the names , themes , and number of singers for every concert ?",concert_singer,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT concert.concert_Name, concert.Theme, Count(*) FROM singer JOIN concert JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer_in_concert.concert_ID",na,na,na,na,True
"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, Count(*) FROM singer JOIN concert JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Singer_ID",35,medium,List singer names and number of concerts for each singer.,concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, Count(*) FROM singer JOIN concert JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Singer_ID",na,na,na,na,True
"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, Count(*) FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Name",36,medium,What are the names of the singers and number of concerts for each person?,concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer.Name, Count(*) FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID GROUP BY singer.Name",False,False,False,False,False
